/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_0.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_0.png [[0, 0], [640, 480]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_1.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_1.png [[0, 376], [640, 856]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_2.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_2.png [[0, 752], [640, 1232]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_3.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_3.png [[0, 1128], [640, 1608]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_4.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_4.png [[0, 1504], [640, 1984]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_5.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_5.png [[0, 1880], [640, 2360]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_6.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_6.png [[0, 2256], [640, 2736]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_7.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_7.png [[0, 2632], [640, 3112]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_8.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_8.png [[0, 3008], [640, 3488]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_9.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_9.png [[0, 3384], [640, 3864]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_10.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_10.png [[0, 3760], [640, 4240]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_11.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_11.png [[0, 4136], [640, 4616]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_12.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_12.png [[0, 4512], [640, 4992]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_13.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_13.png [[0, 4888], [640, 5368]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_14.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_14.png [[0, 5264], [640, 5744]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_15.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_15.png [[0, 5640], [640, 6120]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_16.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_16.png [[0, 6016], [640, 6496]]
